method,mean_J,mean_k,relative_to_best_percent,g,k
fixed_k4,0.9921186975502451,4,48.839056801419375,,
fixed_k8,0.7867934901880981,8,18.035877427017866,,
fixed_k9,0.7705370463081481,9,15.597062615835021,,
fixed_k10,0.7424450867481062,10,11.382666924125463,,
fixed_k12,0.7565962226569526,12,13.505640441852895,,
fixed_k16,0.7950227072310406,16,19.270436261469936,,
source_pooled_transfer,0.75620757495349,12,13.447334961113299,1,12
target_pooled,0.75620757495349,12,13.447334961113299,1,12
leave_one_system_out,0.7900385341177826,11.6,18.522703528537775,,
full_system_calibration,0.7006948118753674,11.4,5.119231360818044,,
small_calibration_stratified,0.666571475841806,9,0.0,,
